1151938921261957120,0
1125012756161114122,35
1119601947683590145,0
652004659153731585,0
1242101810127306782,35
1122424161369866271,202
749633470040637460,0
677162864452173824,2
729272253065199696,701
1128938716853972992,1035
812552159102500904,0
830855932555558962,158
1162677437579149322,29
1084040508961206293,582
867726932316913674,73
1074845672437715006,0
1150823780164325480,2
1104099195218055180,163
585043434952196102,246
811200934264569866,400
853125536015319091,0
1151168523012411534,26
444006738992037890,16
444852299228119040,0
781086360370675722,13
1263180821620068473,0
721196442084966441,154
1138763100888236083,29
946287883482984558,109
1155007189627441222,30
1151166561600675961,4
1264467907111292991,22
678609239551508482,1
